name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
NASA Space Apps Challenge Vienna,"Vienna's local edition of NASA's global open-data hackathon, run with the Austrian Space Forum since 2018.",2026-11-14T09:00:00+01:00,2026-11-15T18:00:00+01:00,Europe/Vienna,onsite,,,Wien,AT,https://www.spaceappschallenge.org/2026/local-events/vienna/,https://www.spaceappschallenge.org/2026/local-events/vienna/,,data|open|climate,open,0,Local finalists advance to NASA global judging,,Austrian Space Forum (OeWF),https://oewf.org/en/events/nasa-space-apps-challenge/,confirmed
NASA Space Apps Challenge Prague,"Prague's NASA Space Apps chapter, organized by data company Keboola at the Prague Planetarium.",2026-11-14T09:00:00+01:00,2026-11-15T18:00:00+01:00,Europe/Prague,onsite,Planetum (Planetárium Praha),"Královská obora 233, Praha",Praha,CZ,https://nasaspaceapps.cz/,,,data|open|climate,open,0,,,Keboola,https://stayhappening.com/e/nasa-space-apps-challenge-prague-E2ISUQ0WQDB,estimated
NASA Space Apps Challenge Kraków,"Kraków edition of the world's largest space hackathon, hosted at AGH University with ThinkHackR and Kraków Technology Park.",2026-11-14T09:00:00+01:00,2026-11-15T18:00:00+01:00,Europe/Warsaw,onsite,AGH University of Krakow,,Kraków,PL,https://kosmonauta.net/2024/07/zaproszenie-na-nasa-space-apps-challenge-krakow/,,,data|open|climate,open,0,,,ThinkHackR / Kraków Technology Park / Space Society,https://kosmonauta.net/2024/07/zaproszenie-na-nasa-space-apps-challenge-krakow/,estimated
NASA Space Apps Challenge Budapest,"Budapest's local NASA Space Apps event, part of the global open-data hackathon network.",2026-11-14T09:00:00+01:00,2026-11-15T18:00:00+01:00,Europe/Budapest,onsite,,,Budapest,HU,https://www.spaceappschallenge.org/2026/local-events/budapest/,https://www.spaceappschallenge.org/2026/local-events/budapest/,,data|open|climate,open,0,,,NASA Space Apps local team,https://www.spaceappschallenge.org/2025/local-events/budapest/,estimated
Global Game Jam Vienna,"TU Wien Informatics' annual Global Game Jam site, a 48-hour game dev weekend; hosted 5 years running through 2026.",2027-01-29T17:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Vienna,hybrid,"Lecture Hall FAV 1 Helmut Veith, TU Wien","Favoritenstraße 9-11, 1040 Wien",Wien,AT,https://globalgamejam.org/jam-sites/2026/tu-wien-ggj26,https://globalgamejam.org/jam-sites/2026/tu-wien-ggj26,,games,open,0,,,TU Wien Informatics,https://informatics.tuwien.ac.at/news/3078,estimated
Red Bull Basement Austria,"Austrian national final of Red Bull Basement, where student innovators pitch AI-accelerated ideas for a global final.",2027-04-28T09:00:00+02:00,2027-04-28T18:00:00+02:00,Europe/Vienna,onsite,Unicorn Startup & Innovation Hub,,Graz,AT,https://www.redbull.com/at-de/events/red-bull-basement-austria,,,ai|open,open,0,World final trip to San Francisco; $100K global prize pool,,Red Bull,https://www.redbull.com/int-en/event-series/basement,estimated
Red Bull Basement Czech Republic,"Czech national final of Red Bull Basement in Brno, part of Red Bull's global student innovation program.",2027-05-12T09:00:00+02:00,2027-05-12T18:00:00+02:00,Europe/Prague,onsite,,,Brno,CZ,https://www.redbull.com/cz-cs/events/red-bull-basement-ceska-republika-2026,,,ai|open,open,0,World final trip to San Francisco; $100K global prize pool,,Red Bull,https://www.redbull.com/int-en/event-series/basement,estimated
Red Bull Basement Slovakia,"Slovak national final of Red Bull Basement, held at The Spot coworking space in Bratislava.",2027-05-10T09:00:00+02:00,2027-05-10T18:00:00+02:00,Europe/Bratislava,onsite,The Spot cowork,"Bottova 2/A, 811 09 Bratislava",Bratislava,SK,https://www.redbull.com/sk-sk/events/red-bull-basement-slovakia-2026,,,ai|open,open,0,World final trip to San Francisco; $100K global prize pool,,Red Bull,https://www.redbull.com/int-en/event-series/basement,estimated
ETHPrague,"Annual Ethereum conference and hackathon at Prague's Municipal House, covering protocol research, DeFi and governance.",2027-05-14T09:00:00+02:00,2027-05-16T18:00:00+02:00,Europe/Prague,onsite,Municipal House Prague,,Praha,CZ,https://ethprague.com/,https://luma.com/ethprague,,web3,open,,,,Duct Tape Events,https://ethprague.com/,estimated
CASSINI Hackathon Prague,EU CASSINI Hackathon edition in Prague tackling space-enabled cybersecurity and crisis-response challenges.,2026-11-27T09:00:00+01:00,2026-11-29T18:00:00+01:00,Europe/Prague,onsite,,,Praha,CZ,https://cassini.eu/hackathons/,,,security|govtech|iot,open,0,"€5,000 / €3,000 / €1,000 plus 6 months mentoring",,Prague Innovation Institute,https://cassini.eu/hackathons/,confirmed
CASSINI Hackathon Gdańsk,"EU CASSINI Hackathon edition in Gdańsk, themed 'EU Space for Peace and Resilience'.",2026-11-27T09:00:00+01:00,2026-11-29T18:00:00+01:00,Europe/Warsaw,onsite,,,Gdańsk,PL,https://cassini.eu/hackathons/,,,security|govtech|iot,open,0,"€5,000 / €3,000 / €1,000 plus 6 months mentoring",,Blue Dot Solutions,https://cassini.eu/hackathons/,confirmed
