name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
FPGA Hackathon 2026 (Nokia Kraków),"Hybrid FPGA hardware hackathon organized by Nokia for FPGA enthusiasts of all levels, in-kind prizes for winning teams.",2026-09-26T09:00:00+02:00,2026-09-27T18:00:00+02:00,Europe/Warsaw,hybrid,Hala 100-lecia KS Cracovia,,Kraków,PL,https://fpgahackathon.com/,https://fpgahackathon.com/,,hardware,open,0,In-kind prizes ~4000/2500/1250 PLN value per team member,,Nokia Solutions and Networks Sp. z o.o.,https://fpgahackathon.com/,confirmed
Baltic Dual Use Hackathon 2026,"48-hour dual-use hackathon covering space, AI, drones, quantum and microelectronics at the University of Gdansk Library.",2026-09-11T09:00:00+02:00,2026-09-13T18:00:00+02:00,Europe/Warsaw,onsite,Biblioteka Uniwersytetu Gdańskiego,Wita Stwosza 53,Gdańsk,PL,https://evenea.pl/wydarzenie/baltic-dual-use-hackathon-2026-ml1l7cd5,https://evenea.pl/wydarzenie/baltic-dual-use-hackathon-2026-ml1l7cd5,2026-09-10,security|hardware|iot,open,7000,Free chip manufacturing for top microelectronics teams,,Fundacja CODE:ME,https://evenea.pl/wydarzenie/baltic-dual-use-hackathon-2026-ml1l7cd5,confirmed
HackNation 2026,"2. edycja ogólnopolskiego hackathonu wdrożeniowego dla administracji publicznej, organizowanego przez Ministerstwo Cyfryzacji.",2026-11-21T09:00:00+01:00,2026-11-22T18:00:00+01:00,Europe/Warsaw,onsite,,,Bydgoszcz,PL,https://hacknation.pl/,https://hacknation.pl/,,govtech,open,,,,Ministerstwo Cyfryzacji (GovTech Polska),https://www.gov.pl/web/cyfryzacja/hacknation-2026-zaczyna-sie-od-dobrego-wyzwania-za-nami-warsztaty-dla-instytucji-publicznych,confirmed
HackBB - Digital Industry Hackathon 2026,"24-godzinny hackathon zamykający festiwal technologiczny BBDays4.IT w Bielsku-Białej, temat ujawniany na starcie.",2026-09-19T15:30:00+02:00,2026-09-20T15:30:00+02:00,Europe/Warsaw,onsite,,,Bielsko-Biała,PL,https://app.evenea.pl/event/hackbb2026,https://app.evenea.pl/event/hackbb2026,,open,open,,,,BBDays4.IT,https://app.evenea.pl/event/hackbb2026,confirmed
hackoWatt 2026,"Miedzynarodowy studencki hackathon o AI i zielonej energii, organizowany przez Uniwersytet Slaski i Vattenfall.",2026-09-28T09:00:00+02:00,2026-09-30T18:00:00+02:00,Europe/Warsaw,hybrid,,,Katowice,PL,https://us.edu.pl/wydzial/wnst/en/2026/08/05/hackowatt-studencki-miedzynarodowy-hackathon-o-ai-i-zielonej-energii,,,ai|climate,students,0,"~15,000 PLN prize pool",,Uniwersytet Śląski w Katowicach / Vattenfall,https://us.edu.pl/wydzial/wnst/en/2026/08/05/hackowatt-studencki-miedzynarodowy-hackathon-o-ai-i-zielonej-energii,confirmed
DATASPRINT Hackathon presented by Visa,"Hackathon analizujący dane transakcyjne Visa pod katem mobilnosci, turystyki i rozwoju miast; nagroda glowna to wyjazd na Hungaroring.",2026-09-29T09:00:00+02:00,2026-09-30T18:00:00+02:00,Europe/Warsaw,onsite,Klub Studio,Witolda Budryka 4,Kraków,PL,https://visadatasprint.com/,https://visadatasprint.com/,,fintech|data|smart-city,open,0,Trip to Hungaroring F1 race 2027,,Visa / Politechnika Krakowska,https://wieik.pk.edu.pl/aktualnosci/datasprint-hackathon-presented-by-visa/,confirmed
BKIhack Torun 2026 (12. edycja),Torunska edycja hackathonu BKIhack organizowanego przez Bydgoski Klaster Informatyczny.,2026-10-16T09:00:00+02:00,2026-10-17T18:00:00+02:00,Europe/Warsaw,onsite,,,Toruń,PL,https://whatdahack.pl/events/bkihack-torun-2026,,,open,open,,,,Bydgoski Klaster Informatyczny,https://whatdahack.pl/events/bkihack-torun-2026,confirmed
HackTYwathon Radom 2026 - Hack the War!,"24-godzinny hackathon dual-use o bezpieczenstwie cywilnym i obronności, czesc Radom EXPO 2026.",2026-10-09T09:00:00+02:00,2026-10-10T18:00:00+02:00,Europe/Warsaw,onsite,ENEA RCS,,Radom,PL,https://twojradom.pl/hack-the-war-w-radomiu-24-godziny-na-stworzenie-technologii-dla-bezpieczenstwa/1466946,,2026-10-06,security|govtech|iot,open,,,,Fundacja SIMBIOSIS,https://twojradom.pl/hack-the-war-w-radomiu-24-godziny-na-stworzenie-technologii-dla-bezpieczenstwa/1466946,confirmed
Music Jam 2026,"24-godzinny maraton tworzenia muzyki i kodu laczacy muzyke z nowymi technologiami, w Instytucie Kultury Miejskiej.",2026-09-18T09:00:00+02:00,2026-09-20T18:00:00+02:00,Europe/Warsaw,onsite,Instytut Kultury Miejskiej,,Gdańsk,PL,https://app.evenea.pl/event/musicjam2026/,https://app.evenea.pl/event/musicjam2026/,,open,open,,,,Fundacja CODE:ME,https://app.evenea.pl/event/musicjam2026/,confirmed
Hackathon 2026 - AI in Pharma,"Studencki hackathon AGH stosujacy AI do realnych problemow produkcji farmaceutycznej, powiazany z konferencja AI in Pharma.",2026-10-25T09:00:00+02:00,2026-10-25T18:00:00+02:00,Europe/Warsaw,onsite,AGH University of Science and Technology,al. Mickiewicza 30,Kraków,PL,https://www.aiinpharma.pl/hackathon-2026/,https://www.aiinpharma.pl/hackathon-2026/,,ai|health,students,0,Free entry to AI in Pharma conference,,AI in Pharma / ISPE Polska / AGH / AWS,https://www.aiinpharma.pl/hackathon-2026/,confirmed
