name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
Startup Weekend Žilina,"54-hodinový hackathon Techstars formátu, kde tímy premenia nápad na pitchovateľný startup s podporou 14+ mentorov.",2026-10-09T09:00:00+02:00,2026-10-11T18:00:00+02:00,Europe/Bratislava,onsite,AT Park,,Žilina,SK,https://www.startupweekendzilina.sk/,https://tootoot.fm/en/events/66659da31b234e07dc635108,,open,open,,"Mentoring, partner merchandise, software licenses, event tickets",,"Startupisti, o.z.",https://www.startupweekendzilina.sk/,confirmed
Hackday Slovensko.Digital,"Víkendový hackathon komunity Slovensko.Digital na zlepšovanie digitálnych služieb štátu (Autogram, Odkaz pre starostu, Priznanie.Digital).",2026-10-02T16:00:00+02:00,2026-10-03T20:00:00+02:00,Europe/Bratislava,onsite,Orange Digital Center,Legionárska 10,Bratislava,SK,https://slovensko.digital/hackday-slovensko-digital-je-spat-tentokrat-v-novych-priestoroch/,https://forms.gle/EqfueXv7i5e1a8kT7,,govtech|open,open,0,Bez peňažných cien; komunitný dopad na verejné digitálne služby,,Slovensko.Digital,https://slovensko.digital/hackday-slovensko-digital-je-spat-tentokrat-v-novych-priestoroch/,confirmed
Hack jak Brno 2026,"Celoštátny zdravotnícky hackathon (3. ročník) s výzvami z praxe — rádiologické reporty, AI dokumentácia, onkologická starostlivosť.",2026-11-27T09:00:00+01:00,2026-11-29T18:00:00+01:00,Europe/Prague,onsite,Fakultní nemocnice u sv. Anny v Brně,Pekařská 664/53,Brno,CZ,https://www.hackjakbrno.cz/,,2026-11-14,health|ai,open,0,25000/15000/10000 CZK + InterSystems ceny 1500/1000/500 EUR,,Insane Business Ideas s.r.o.,https://www.hackjakbrno.cz/,confirmed
Hackathon Olomouckého kraje 2026,48-hodinový hackathon o využití umelej inteligencie pre smart cities a regióny Olomouckého kraja.,2026-11-20T09:00:00+01:00,2026-11-22T18:00:00+01:00,Europe/Prague,onsite,"Envelopa Hub, Vědeckotechnický park UP",,Olomouc,CZ,https://hackathon.upol.cz/en/,https://hackathon.upol.cz/en/#registrace,,ai|smart-city|govtech,open,,"Vouchery TS Bohemia 50000+ CZK, celkový prizepool 100000+ CZK",,Univerzita Palackého v Olomouci / Olomoucký kraj,https://hackathon.upol.cz/en/,confirmed
IDEA13 – Ideathon MČ Praha 13,"24-hodinový inovačný maratón pre riešenie komunálnych výziev mestskej časti Praha 13 (voľný čas, podnikanie, prostredie, bezpečnosť).",2026-09-18T09:00:00+02:00,2026-09-19T18:00:00+02:00,Europe/Prague,onsite,KD Mlejn,Kovářova 4,Praha,CZ,https://www.idea13.cz/,https://registrace.idea13.cz/,,govtech|smart-city,open,0,"50000 CZK (1., Alza.cz), 9000 CZK (2.), 6000 CZK (3.)",,Městská část Praha 13,https://www.idea13.cz/,confirmed
AimtecHackathon (HackIT) 2027,"40-hodinový programátorský maratón a technologická konferencia (IoT, VR/AR, AI, asistenčné technológie) firmy Aimtec, súčasťou je aj detský YoungHackers program.",2027-03-19T16:00:00+01:00,2027-03-21T12:00:00+01:00,Europe/Prague,onsite,Moving Station,,Plzeň,CZ,https://www.aimtechackathon.cz/,https://www.aimtechackathon.cz/registrace/,,iot|hardware|ai,open,,,,"Aimtec, a.s.",https://www.aimtechackathon.cz/,confirmed
Global Game Jam Slovakia,Slovenská lokálna edícia celosvetového Global Game Jamu — 48-hodinová tvorba hier na tajnú tému. Termín odhadnutý na posledný januárový víkend (fixný vzor GGJ).,2027-01-29T09:00:00+01:00,2027-01-31T18:00:00+01:00,Europe/Bratislava,onsite,,,Bratislava,SK,http://www.globalgamejam.sk/,,,games,open,,,,TEDI Games a Godot (občianske združenia),http://www.globalgamejam.sk/,estimated
Hackathon CampFire Bratislava,36-hodinový Game Jam maratón pre mladých vývojárov a dizajnérov hier. Organizátori po 1. ročníku (2026) explicitne sľúbili ďalší ročník; termín odhadnutý na rovnaký víkend (koniec februára).,2027-02-26T09:00:00+01:00,2027-02-28T18:00:00+01:00,Europe/Bratislava,onsite,SPŠE Hálova,Hálova 16,Bratislava,SK,https://spsehalova.sk/hackathon-campfire-bratislava/,,,games,students,,(z minulého ročníka) Solplex a ďalšie ceny poroty a verejnosti,,SPŠE Hálova / Hack Club,https://spsehalova.sk/hackathon-campfire-bratislava/,estimated
Hackathon 2027 – Pronea,"48-hodinový hackathon pre stredoškolské tímy z regiónu Horná Nitra na témy AI, vzdelávanie, životné prostredie a zdravie. Potvrdené ročníky 2024 a 2026 v rovnakom stredo-piatkovom formáte; termín 2027 odhadnutý na rovnaký vzor.",2027-03-17T09:00:00+01:00,2027-03-19T18:00:00+01:00,Europe/Bratislava,onsite,,,Partizánske,SK,https://pronea.sk/en/hackathon-2026/,,,ai|edtech|climate|health,highschool,,(z minulých ročníkov) finančné odmeny; možná realizácia produktu do 1 roka,,Pronea,https://pronea.sk/hackathon-2024/,estimated
Studentský Hardware Hackathon 2027,"24-hodinový študentský hardvérový hackathon (3. ročník), súčasť Maker Faire Prague. Organizátori po 2. ročníku (2026) potvrdili plánovanie 3. ročníka, presný dátum zatiaľ TBA; odhad na rovnaký aprílový víkend.",2027-04-23T09:00:00+02:00,2027-04-24T18:00:00+02:00,Europe/Prague,onsite,Maker Faire Prague,,Praha,CZ,https://hwhackathon.cz/,,,hardware|edtech,students,,,,Studentský Hardware Hackathon (ESA ESERO),https://hwhackathon.cz/,estimated
