name,description,start_at,end_at,timezone,format,venue_name,address,city,country_code,url,registration_url,registration_deadline,themes,eligibility,price_cents,prizes,capacity,organizer_name,source_url,date_confidence
Rakathon 2026 (Praha),National AI hackathon against cancer where multidisciplinary teams build prototypes on real oncology challenges at Prague hospitals FN Motol and Homolka.,2026-10-16T09:30:00+02:00,2026-10-18T18:00:00+02:00,Europe/Prague,onsite,FN Motol / Nemocnice Na Homolce,,Praha,CZ,https://www.rakathon.cz/,https://registrace.rakathon.cz/register,2026-10-01,ai|health,open,,1st 100000 CZK; 2nd 50000 CZK; 3rd 25000 CZK,500,Insane Business Ideas s.r.o.,https://www.rakathon.cz/,confirmed
Rakathon 2026 (Brno),"Sister node of the national AI-against-cancer hackathon, run simultaneously at Brno's Masaryk Memorial Cancer Institute alongside the Prague and Ostrava sites.",2026-10-16T09:30:00+02:00,2026-10-18T18:00:00+02:00,Europe/Prague,onsite,Masarykuv onkologicky ustav (MOU),,Brno,CZ,https://www.rakathon.cz/,https://registrace.rakathon.cz/register,2026-10-01,ai|health,open,,1st 100000 CZK; 2nd 50000 CZK; 3rd 25000 CZK,500,Insane Business Ideas s.r.o.,https://www.rakathon.cz/,confirmed
ETHPrague,"Three-day Ethereum conference and hackathon at Prague's Municipal House covering protocol development, privacy, DeFi and long-term societal impact tracks.",2027-05-08T09:00:00+02:00,2027-05-10T18:00:00+02:00,Europe/Prague,onsite,Municipal House (Obecni dum),,Praha,CZ,https://ethprague.com/,https://luma.com/ethprague,,web3,open,,,,Duct Tape Events,https://ethprague.com/,estimated
European Defense Tech Hackathon - Prague,"Dual-use and defence-tech hackathon bringing 100+ European hackers together with military, investor and public-sector mentors for a weekend of building and a Sunday field demo day.",2027-05-15T12:00:00+02:00,2027-05-17T17:00:00+02:00,Europe/Prague,onsite,,,Praha,CZ,https://community.eurodefense.tech/,,,security|hardware,open,,,100,European Defense Tech Hub (EDTH),https://luma.com/edth-2026-prague,estimated
Hack Your Way,"Brno business conference pairing keynotes and workshops with a full-day intensive hackathon on AI, vibe coding and automation for founders and marketers.",2027-04-27T08:00:00+02:00,2027-04-29T17:00:00+02:00,Europe/Prague,onsite,OREA Congress Hotel Brno,,Brno,CZ,https://www.hackyourway.cz/,https://hackyourway.cz/prihlaseni,,ai|open,open,,,500,Jindrich Faborsky,https://www.hackyourway.cz/,estimated
Hackathon verejne spravy,"Nationwide public-administration hackathon where regional student teams refine or build new open-data applications, judged at the Supreme Audit Office in Prague.",2027-03-05T11:00:00+01:00,2027-03-06T15:00:00+01:00,Europe/Prague,onsite,Nejvyssi kontrolni urad (Supreme Audit Office),"Komunardu 1634/44, 170 00 Praha 7",Praha,CZ,https://www.hackujstat.cz/,,,govtech|data|open,students,,,,Nejvyssi kontrolni urad,https://www.hackujstat.cz/,estimated
Medialni Hackathon (VOSP),50-hour multimedia journalism hackathon where student teams at the Higher Professional School of Journalism build a themed multimedia website under time pressure.,2027-02-11T09:00:00+01:00,2027-02-13T18:00:00+01:00,Europe/Prague,onsite,VOSP - Vyssi odborna skola publicistiky,"Spalena 76/14, 110 00 Praha 1",Praha,CZ,https://www.vosp.cz/aktualita/medialni_hackathon_2026/,,,edtech|open,students,,,,VOSP,https://www.vosp.cz/aktualita/medialni_hackathon_2026/,estimated
Stavebni Hackathon,"Construction-innovation hackathon held during Brno's Architecture Festival and Building Fair, where Czech and Slovak university teams design affordable, sustainable housing using BIM and modular methods.",2027-03-25T09:00:00+01:00,2027-03-28T18:00:00+01:00,Europe/Prague,onsite,Veletrhy Brno (BVV fairgrounds),,Brno,CZ,https://www.bvv.cz/stavebni-veletrh-brno/aktuality/stavebni-hackathon-potreti-soucasti-festivalu-architektury-a-stavebniho-veletrhu-brno,,,smart-city|open,university,,,,Narodni centrum stavebnictvi 4.0,https://www.bvv.cz/stavebni-veletrh-brno/aktuality/stavebni-hackathon-potreti-soucasti-festivalu-architektury-a-stavebniho-veletrhu-brno,estimated
Hackathon ML/AI 2026,"Weekend hackathon for high-school students applying machine learning and neural networks to technical problems, hosted by the Software Engineering Department of FJFI CVUT.",2026-10-23T14:00:00+02:00,2026-10-24T17:00:00+02:00,Europe/Prague,onsite,"FJFI CVUT, Decin campus",,Decin,CZ,https://ksi.fjfi.cvut.cz/udalosti/hackathon-mlai-2026,https://forms.office.com/e/tY1SPrsjbd,2026-10-10,ai|edtech,highschool,,1st 25000 CZK; 2nd 15000 CZK; 3rd 10000 CZK,,"Katedra softwaroveho inzenyrstvi, FJFI CVUT",https://ksi.fjfi.cvut.cz/udalosti/hackathon-mlai-2026,confirmed
Hack Kosice,Slovakia's largest and only MLH-affiliated international student hackathon: 24 hours of building software for challenges set by tech companies and university partners.,2027-04-17T11:00:00+02:00,2027-04-18T11:00:00+02:00,Europe/Bratislava,onsite,,,Kosice,SK,https://hackkosice.com/,,,open|ai|data,students,0,"UPJS Challenge main prize; Tatrabanka, Investtech, JetBrains and MLH partner prizes",150,Hack Slovakia,https://hackkosice.com/2026/,estimated
